"","X","Q8","STEM_Non.STEM","satacad","satlife","satoverall","respect9","intclimate10","socclimate11","collegial12","sameuniv13","samefield14","recommend15","curriculum16","teaching17","advising18","candidacy19","interdisc20","employment21","progqual22","Q21","Q23","Q24","htopicadv","hresearchadv","hwritingadv","hacadadv","hnonacadadv","hemployadv","Q32","Q38","Q39","Q40","Q42","Q45","Q46","Q47","Q48","Q49","Q90_1","Q99","sameuniv91","samefield92","recommend93","curriculum94","teaching95","advising96","candidacy97","interdisc98","employment99","progqual100","respect101","intclimate102","socclimate103","collegial104","workcomm","family","availfac","progreq","coursesched","immigration","Sex_ANOVA_Code","Citizenship_ANOVA_Code","Hispanic_Latino_ANOVA_Code","Race_Ethnicy_ANOVA_Code","Underrepresented"
"162",162,1,0,3,2,3,3,3,3,4,3,4,3,3,3,3,3,1,1,2,2,1,0,4,4,4,3,3,3,1,1,3,0,0,1,20,1,2,1,2,1,2,3,3,3,2,2,3,1,1,3,1,2,2,4,3,2,2,2,2,1,2,1,2,5,1
"163",163,1,1,4,4,4,4,4,4,4,4,5,3,3,3,4,3,3,2,3,1,1,1,3,3,3,4,4,2,1,1,3,1,1,6,6,1,7,1,7,1,4,5,3,3,3,4,3,4,2,3,4,4,4,4,3,1.53452685421995,2,2,1,0,1,1,2,6,1
"164",164,6,1,2,2,3,2,2,1,3,2,3,2,3,2,1,2,2,2,2,1,1,0,2,2,2,2,2,1,1,1,2,1,1,5,3,0,3,2,1,1,2,3,2,2,2,1,1,2,2,3,2,2,1,3,1,2,3,2,2,1,2,1,2,1,1
"165",165,1,1,4,4,4,5,4,3,4,4,3,4,4,4,4,4,4,4,4,1,1,0,0,0,0,0,0,0,1,1,3,0,1,0,1,1,1,0,1,1,4,4,5,4,4,4,4,4,4,4,4,4,3,4,1,1,1,1,1,1,2,2,2,1,1
"166",166,1,1,5,5,5,4,5,5,5,5,5,5,4,3,5,5,5,5,4,1,1,0,4,4,4,4,3,4,0,1,3,1,1,8,10,1,3,0,2,1,5,5,5,4,3,5,5,5,5,5,4,5,5,5,1,2,1.56598984771574,1,1,1,1,1,2,5,1
"167",167,1,0,3,1,2,5,5,4,5,3,5,4,5,5,4,4,4,3,4,1,1,1,4,4,4,0,0,0,0,0,3.34117647058824,0,1,1,1,1,1,0,2.49051490514905,0.938172043010753,3,5,3,5,5,3,3,3,2,4,5,5,4,5,3,3,1,2,2,0,2,1,2,5,1
"168",168,1,1,4,3,3,5,4,5,5,3,4,3,2,2,3,1,4,3,3,1,1,1,3,3,4,3,1,2,1,1,4,1,0,1,1,1,3,1,2,1,3,5,4,2,2,3,2,3,3,3,4,4,4,5,2,1,1,2,2,0,1,1,2,5,1
"169",169,1,1,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,1,1,4,4,4,4,3,4,0,1,3,0,1,5,10,1,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,1,1,1,1,1,1,2,1,1
"170",170,3,1,5,4,5,5,5,5,4,5,5,5,5,5,4,4,5,4,5,1,1,1,4,4,4,3,3,3,1,0,3.34117647058824,0,0,3,2,1,1,1,1,1,4,4,5,5,5,4,4,4,4,5,5,5,5,4,2,2,1,2,1,1,1,1,2,5,1
"171",171,1,1,4,4,4,5,5,5,5,4,4,5,5,5,5,5,3,4,5,2,1,0,4,4,4,4,4,4,0,1,4,1,0,5,1,2,0,0,7,1,4,4,5,5,5,5,4,3,4,5,5,5,5,5,1,1,1,1,1,1,1,1,2,5,1
